amirulasafat 	:@TriCahy90690807 n aku kaum kuat og yo ra ngara turu
dianSby95 	:@ssaamkil @el_coooco Tak wa nng aku yoo gak ngara dipegat sehhh
Lambret18909452 	:@SuaraKeadilan99 @shamsuliskandar @KEADILAN @keadilansarawak @AMKPandan2018 @msiswakeadilan @PKR_SA @milosuam @PisauKarat @nitizen0165 @KEADILANMELAKA1 utk ptnyaan  puak2 PHancing.jka ssorg disbitkan keslhan &amp; dipnjrakan apakah glran  ssuai utknya?adakah banduan atau glran lain utknya &amp; blehkah mrka ni diangkt jd pmimpin ngara sbb klu pjawat awam yg disbitkan kslhan &amp; dipnjrakn mrka ni akn dibuang krja &amp; nmanya akn diblacklist
impatriciac 	:Naalin ta si mama ngara agahon pa ta ga tantrums
kvnybnz 	:HAPPY BIRTHDAY cuzzzz @johanybanez!!! Hahaha amping ka ngara khen haha
iampoyee 	:Lisod masyadong mabuot ngara hoh naabuso kaman.Lunes nga lunes kinah
dkirliajane_ 	:@axhasls Ug gibiga pag post ngara aypag bout ug respetoun ka or di bogo mag binastos nyag bastoson masuko buang mn diay ka!
Wangareeee 	:RT @baba___yao: Wadau mlisema mtu akibuy Samsung fake ngara iyo ndio tunasemanga Samsung ngaraxy ama😂😂😂
hesblack94 	:@2HEARTSIN1H0ME @fervorharryx GOODMORNING NGARA ENNA NOH HAHAHAHAHAHAHHAHAHAHAHAHAHH HOY NICOLE UTRO MAN SAD DIAY KA
BSesanyi 	:Nyie hivi NGARA ni TANZANIA?
finesse_ngara_ 	:@staceytowet @kesh_hakeem Hy
finesse_ngara_ 	:@staceytowet @kesh_hakeem Hyyy
finesse_ngara_ 	:RT @staceytowet: Drop using "❤️" and follow everyone that likes your r
finesse_ngara_ 	:@kesh_hakeem Hyyy
finesse_ngara_ 	:@kesh_hakeem Fff
[Finished in 2.9s]
